,county_en,province_en,Livestock_int_hist,Livestock_vac_hist,Pop_setting,count,county_count,Population,inf_rate,ses,inf_rate_100k
72,Abyek,Qazvin,1,0,-1,11,131,94536,0.000116358,2,1.16E+01
73,Abyek,Qazvin,1,0,1,4,131,94536,4.23E-05,2,4.23E+00
74,Abyek,Qazvin,1,1,-1,45,131,94536,0.000476009,2,4.76E+01
75,Abyek,Qazvin,1,1,1,11,131,94536,0.000116358,2,1.16E+01
76,Ahar,East Azerbaijan,-1,0,-1,7,178,154530,4.53E-05,2,4.53E+00
77,Ahar,East Azerbaijan,-1,0,1,16,178,154530,0.00010354,2,1.04E+01
78,Ahar,East Azerbaijan,0,0,-1,31,178,154530,0.000200608,2,2.01E+01
79,Ahar,East Azerbaijan,0,0,1,24,178,154530,0.00015531,2,1.55E+01
80,Ahar,East Azerbaijan,0,0,-1,1,178,154530,6.47E-06,2,6.47E-01
81,Ahar,East Azerbaijan,0,0,1,2,178,154530,1.29E-05,2,1.29E+00
82,Ahar,East Azerbaijan,1,-1,-1,7,178,154530,4.53E-05,2,4.53E+00
83,Ahar,East Azerbaijan,1,-1,1,1,178,154530,6.47E-06,2,6.47E-01
84,Ahar,East Azerbaijan,1,0,-1,55,178,154530,0.000355918,2,3.56E+01
85,Ahar,East Azerbaijan,1,0,1,4,178,154530,2.59E-05,2,2.59E+00
86,Ahar,East Azerbaijan,1,1,-1,27,178,154530,0.000174723,2,1.75E+01
87,Ahar,East Azerbaijan,1,1,1,3,178,154530,1.94E-05,2,1.94E+00
88,Ahvaz,Khuzestan,-1,-1,1,2,55,1302591,1.54E-06,1,1.54E-01
89,Ahvaz,Khuzestan,-1,0,-1,2,55,1302591,1.54E-06,1,1.54E-01
90,Ahvaz,Khuzestan,-1,0,1,17,55,1302591,1.31E-05,1,1.31E+00
91,Ahvaz,Khuzestan,0,0,1,2,55,1302591,1.54E-06,1,1.54E-01
92,Ahvaz,Khuzestan,1,-1,-1,6,55,1302591,4.61E-06,1,4.61E-01
